open	high	low	fluctuation range	close	day range	adj_close
369.649994	372.899994	366.25	6.649994	369.299988	0.350006	342.5177
370	372.5	364.200012	8.299988	366	4	339.457092
370	370	358.399994	11.600006	360.25	9.75	334.124054
364	364	355.25	8.75	357.450012	6.549988	331.52713
358	363.5	355	8.5	359.899994	1.899994	333.799377
362	366.850006	358.100006	8.75	360.350006	1.649994	334.216797
362.5	364	356.100006	7.899994	357.549988	4.950012	331.619843
360	364.549988	357.5	7.049988	363.100006	3.100006	336.767365
364.799988	366.649994	358.100006	8.549988	359.25	5.549988	333.196625
359	360.899994	354.649994	6.25	357.600006	1.399994	331.666199
357.899994	357.950012	347.100006	10.850006	348.450012	9.449982	323.17981
350	353	338	15	347.899994	2.100006	322.669708
349.5	360.600006	346.700012	13.899994	359.450012	9.950012	333.38208
364.049988	369.700012	364	5.700012	365	0.950012	338.529602
366.5	378.850006	366	12.850006	375.75	9.25	348.5
377	380.600006	373.600006	7	378.700012	1.700012	351.236084
380	384.399994	378.100006	6.299988	379.649994	0.350006	352.117126
380.200012	381.799988	375	6.799988	378	2.200012	350.586792
389.899994	389.899994	377.399994	12.5	381.299988	8.600006	353.647491
379.5	380.700012	375.100006	5.600006	379.299988	0.200012	351.79248
381	382.5	376.100006	6.399994	377.100006	3.899994	349.752106
375	378.799988	371	7.799988	373.950012	1.049988	346.830505
374.899994	380.799988	374.100006	6.699982	378.100006	3.200012	350.679565
379.700012	384.200012	378.100006	6.100006	381.049988	1.349976	353.415619
384.799988	390	378	12	381.399994	3.399994	353.740173
381.049988	381.049988	381.049988	0	381.049988	0	353.415619
384	390	381.5	8.5	388.950012	4.950012	360.742706
390	392	385	7	388.149994	1.850006	360.000671
388	392	386.25	5.75	387.950012	0.049988	359.815155
388.5	391.75	378.75	13	380.600006	7.899994	352.998199
377.899994	379.700012	372.5	7.200012	377.799988	0.100006	350.401337
380.200012	389	380.200012	8.799988	387.350006	7.149994	359.258759
386.899994	397.649994	386.899994	10.75	395.850006	8.950012	367.142242
399	404.799988	394.299988	10.5	398.899994	0.100006	369.9711
398.899994	398.899994	398.899994	0	398.899994	0	369.9711
400	423.700012	398.200012	25.5	418.950012	18.950012	388.567017
423	424.5	413.299988	11.200012	420.100006	2.899994	389.633667
